Grasse|48708|43.65356|6.939341
Martigues|48506|43.378374|5.053392
Saint-Priest|48318|45.701812|4.943979
Bastia|48296|42.687608|9.435179
Montrouge|47907|48.815929|2.316207
Aubagne|47190|43.302497|5.564344
Saint-Malo|46995|48.642082|-1.988626
Les Sables-d'Olonne|46941|46.524364|-1.765848
Évreux|46869|49.020599|1.146898
La Courneuve|46828|48.929122|2.397298
Carcassonne|46673|43.206781|2.349415
Blois|46660|47.581246|1.316402
Charleville-Mézières|46388|49.767531|4.717499
Choisy-le-Roi|46229|48.764115|2.412807
Brive-la-Gaillarde|45910|45.148038|1.517353
Meudon|45825|48.803633|2.233989
Livry-Gargan|45618|48.917656|2.533775
Belfort|45458|47.640938|6.857469
Rosny-sous-Bois|45442|48.873864|2.487396
Alfortville|45151|48.797176|2.421524
Noisy-le-Sec|45043|48.891082|2.456745
Salon-de-Provence|45009|43.6377|5.062036
Sète|44576|43.40682|3.687179
Istres|44438|43.532355|4.957523
Saint-Germain-en-Laye|44410|48.924335|2.112812
Talence|44359|44.806418|-0.592018
Saint-Brieuc|44166|48.508238|-2.766074
Puteaux|44009|48.884156|2.237199
Mantes-la-Jolie|43945|48.994782|1.699745
Caluire-et-Cuire|43355|45.797623|4.848745
Châteauroux|43331|49.016794|1.482146
Garges-lès-Gonesse|43215|48.969747|2.400856
Rezé|42993|47.17269|-1.552789
Tarbes|42925|43.239085|0.065776
Alès|42867|44.125446|4.089292
Valenciennes|42738|50.358552|3.510438
Bron|42442|45.735802|4.910856
Castres|42394|43.609339|2.240055
Arras|42337|50.287896|2.768267
Le Cannet|42125|43.574427|6.999308
Bagneux|41967|48.797787|2.310168
Bourg-en-Bresse|41681|46.206576|5.241985
Melun|41609|48.541342|2.659426
Angoulême|41407|45.644018|0.148409
Thionville|41383|49.370617|6.150553
Wattrelos|41015|50.711887|3.218738
Boulogne-sur-Mer|40588|50.726334|1.610597
Compiègne|40453|49.405934|2.844366
Anglet|40310|43.488004|-1.518997
Gap|40111|44.544606|6.077989
Colomiers|39866|43.609804|1.32962
